title,address,area,price,number_bedroom,number_wc,number_floor,direction,entrance,facade,number_parking,id_estate
Căn hộ nghỉ dưỡng ngay trung tâm hà nội chỉ 1 3 tỷ view hồ cực chất,"Vinhomes Smart City, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",30,1.25,1,1,27,Đông bắc,30,30,3,3947348
Căn 2 pn full nội thất view hồ 10ha. công viên 20ha cùng các tiện ích đẳng cấp.,"Vinhomes Smart City, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",55,2.1,2,1,20,Đông bắc,50,5,3,3947371
"Duy nhất căn 2 ngủ tầng đẹp giá 1 tỷ 779triệu, giá trực tiếp cđt,nhận nhà ở ngay","Tecco Diamond, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",65,1.7,2,2,,,,,1,3946737
Nhận nhà ở ngay không lo trả lãi tại teccodiamond cách bx giáp bát 10p ck 6.5%,"Tecco Diamond, Thị Trấn Văn Điển, Huyện Thanh Trì, Hà Nội",69,1.93,2,2,,,,,1,3946177
"Chính chủ bán căn hộ chung cư citadines central, sát luxury residence bình dương","Citadines Bình Dương, Phường An Thạnh, Thị Xã Thuận An, Bình Dương",114,3.05,3,2,16,,50,,,3944714
Chỉ 300tr sở hữu ngay chcc view hồ công viên kđt vinsmart,"Vinhomes Smart City, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",54,2.5,2,1,,,,,,3947176
Mua nhà ngay tp chưa bao giờ dễ đến thế chỉ từ 400 triệu sở hữu căn 51m2 2pn,"Dĩ An - Bình Đường, Phường An Bình, Thị Xã Dĩ An, Bình Dương",51,1.94,2,2,29,,,,4,3945268
Bán 19 căn hộ giá gốc kèm nhiều chính sách ưu đãi của cđt,"Udic Westlake, Phường Bưởi, Quận Tây Hồ, Hà Nội",85.67,3.7,2,2,,,,,,3948200
Bán căn hộ tân phú richstar 65m2 2pn 2wc hướng đông nam giá 2.8 tỷ,"Căn hộ Richstar Tân Phú, Phường Hiệp Tân, Quận Tân Phú, TP HCM",65,2.8,2,2,18,Đông nam,,,1,3947299
"Nhanh tay sở hữu ngay 200 căn hộ view hồ đẹp nhất văn quán, hà đông với 2 tòa he","Phường Văn Quán, Quận Hà Đông, Hà Nội",86,3.5,2,2,45,Đông bắc,10,5,1,3949242
