title,address,area,price,number_bedroom,number_wc,number_floor,direction,entrance,facade,number_parking,id_estate
Căn hộ nghỉ dưỡng ngay trung tâm hà nội chỉ 1 3 tỷ view hồ cực chất,"Vinhomes Smart City, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",30,1.25,1,1,27,Đông bắc,30,30,3,3947348
Căn 2 pn full nội thất view hồ 10ha. công viên 20ha cùng các tiện ích đẳng cấp.,"Vinhomes Smart City, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",55,2.1,2,1,20,Đông bắc,50,5,3,3947371
"Duy nhất căn 2 ngủ tầng đẹp giá 1 tỷ 779triệu, giá trực tiếp cđt,nhận nhà ở ngay","Tecco Diamond, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",65,1.7,2,2,,,,,1,3946737
Nhận nhà ở ngay không lo trả lãi tại teccodiamond cách bx giáp bát 10p ck 6.5%,"Tecco Diamond, Thị Trấn Văn Điển, Huyện Thanh Trì, Hà Nội",69,1.93,2,2,,,,,1,3946177
"Chính chủ bán căn hộ chung cư citadines central, sát luxury residence bình dương","Citadines Bình Dương, Phường An Thạnh, Thị Xã Thuận An, Bình Dương",114,3.05,3,2,16,,50,,,3944714
Mua nhà ngay tp chưa bao giờ dễ đến thế chỉ từ 400 triệu sở hữu căn 51m2 2pn,"Dĩ An - Bình Đường, Phường An Bình, Thị Xã Dĩ An, Bình Dương",51,1.94,2,2,29,,,,4,3945268
Chỉ 300tr sở hữu ngay chcc view hồ công viên kđt vinsmart,"Vinhomes Smart City, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",54,2.5,2,1,,,,,,3947176
Bán 19 căn hộ giá gốc kèm nhiều chính sách ưu đãi của cđt,"Udic Westlake, Phường Bưởi, Quận Tây Hồ, Hà Nội",85.67,3.7,2,2,,,,,,3948200
"Nhanh tay sở hữu ngay 200 căn hộ view hồ đẹp nhất văn quán, hà đông với 2 tòa he","Phường Văn Quán, Quận Hà Đông, Hà Nội",86,3.5,2,2,45,Đông bắc,10,5,1,3949242
290 triệu sở hữu căn hộ cách phạm văn đồng 3 phút xe máy,"Bế Văn Đàn, Phường An Bình, Thị Xã Dĩ An, Bình Dương",54,1.9,2,2,29,,12,12,1,3945962
Bán căn hộ tân phú richstar 65m2 2pn 2wc hướng đông nam giá 2.8 tỷ,"Căn hộ Richstar Tân Phú, Phường Hiệp Tân, Quận Tân Phú, TP HCM",65,2.8,2,2,18,Đông nam,,,1,3947299
Chung cư tecco diamond thanh toán 550tr sở hữu căn hộ 2pn 64m nhận nhà ở ngay.,"Tecco Diamond, Xã Ngọc Hồi, Huyện Thanh Trì, Hà Nội",64,1.84,2,2,14,,,,1,3945877
Căn hộ bcons polygon đa kết nối liền kề đường phạm văn đồng 15% đến khi nhận nhà,"Bế Văn Đàn, Phường An Bình, Thị Xã Dĩ An, Bình Dương",41,1.4,1,1,29,,,,4,3945273
🔥hot hot 🔥 giá trị tài sản gia tăng bền vững với imperium town nha trang,"Imperium Town, Phường Phước Long, Thành Phố Nha Trang, Khánh Hòa",37.7,1.58,1,1,,,,,,3947352
Đón đầu đại lộ đông tây rộng 32m với bcons plaza ngay trong làng đại học thủ đức,"Thống Nhất, Phường Đông Hòa, Thị Xã Dĩ An, Bình Dương",51,1.7,2,2,28,,20,20,1,3946562
Westgate mua nhà dễ hơn thuê nhà - thanh toán chỉ đủ 20% nhận nhà full nội thất,"West Gate Park, Thị Trấn Tân Túc, Huyện Bình Chánh, TP HCM",60,2.4,2,2,8,Đông nam,50,50,3,3944639
Bán căn hộ thương mại topaz home quận 12,"Căn hộ Topaz Home, Phường Tân Thới Nhất, Quận 12, TP HCM",60,2,2,1,15,,,,,3949409
1.999.999.999đ 2pn 2wc mặt tiền phạm văn đồng nối dài,"PHƯỜNG HIỆP BÌNH CHÁNH, Phường Hiệp Bình Chánh, Quận Thủ Đức, TP HCM",70,2,2,2,,,32,32,,3949403
Bán căn hộ lavita thuận an với giá 1tỷx (x tiểu học). căn hộ chuẩn resort tại bì,"Nguyễn Thị Minh Khai, Phường Thuận Giao, Thị Xã Thuận An, Bình Dương",35,1.2,1,1,8,Tây Nam,,,,3949402
Chung cư tecco diamond nhận nhà ở ngay. giá tốt,"Tecco Diamond, Xã Ngọc Hồi, Huyện Thanh Trì, Hà Nội",69,1.87,2,2,,Đông bắc,,,1,3948168
