,title,address,area,price,number_bedroom,number_wc,number_floor,direction,entrance,facade,number_parking,id_estate
0,Căn hộ nghỉ dưỡng ngay trung tâm hà nội chỉ 1 3 tỷ view hồ cực chất, Hà Nội,30.0,1.25,1.0,1.0,27.0,Đông bắc,30.0,30.0,3.0,3947348
1,Căn 2 pn full nội thất view hồ 10ha. công viên 20ha cùng các tiện ích đẳng cấp., Hà Nội,55.0,2.1,2.0,1.0,20.0,Đông bắc,50.0,5.0,3.0,3947371
2,"Duy nhất căn 2 ngủ tầng đẹp giá 1 tỷ 779triệu, giá trực tiếp cđt,nhận nhà ở ngay", Hà Nội,65.0,1.7,2.0,2.0,20.0,,30.0,30.0,1.0,3946737
3,Nhận nhà ở ngay không lo trả lãi tại teccodiamond cách bx giáp bát 10p ck 6.5%, Hà Nội,69.0,1.93,2.0,2.0,20.0,,30.0,30.0,1.0,3946177
4,"Chính chủ bán căn hộ chung cư citadines central, sát luxury residence bình dương", Bình Dương,114.0,3.05,3.0,2.0,16.0,,50.0,30.0,2.0,3944714
5,Mua nhà ngay tp chưa bao giờ dễ đến thế chỉ từ 400 triệu sở hữu căn 51m2 2pn, Bình Dương,51.0,1.94,2.0,2.0,29.0,,30.0,30.0,4.0,3945268
6,Bán 19 căn hộ giá gốc kèm nhiều chính sách ưu đãi của cđt, Hà Nội,85.67,3.7,2.0,2.0,20.0,,30.0,30.0,2.0,3948200
7,290 triệu sở hữu căn hộ cách phạm văn đồng 3 phút xe máy, Bình Dương,54.0,1.9,2.0,2.0,29.0,,12.0,12.0,1.0,3945962
8,"700 triệu ban đầu có nhà ở ngay hesco văn quán, 2pn - 3pn view hồ văn quán hà đô", Hà Nội,90.0,4.0,3.0,3.0,50.0,Đông bắc,10.0,5.0,2.0,3949716
9,"Nhanh tay sở hữu ngay 200 căn hộ view hồ đẹp nhất văn quán, hà đông với 2 tòa he", Hà Nội,86.0,3.5,2.0,2.0,45.0,Đông bắc,10.0,5.0,1.0,3949242
10,Bán căn hộ tân phú richstar 65m2 2pn 2wc hướng đông nam giá 2.8 tỷ, TP HCM,65.0,2.8,2.0,2.0,18.0,Đông nam,30.0,30.0,1.0,3947299
