,title,address,area,price,number_bedroom,number_wc,number_floor,direction,entrance,facade,number_parking,id_estate
0,Căn hộ nghỉ dưỡng ngay trung tâm hà nội chỉ 1 3 tỷ view hồ cực chất,"Vinhomes Smart City, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",30,1.25,1,1,27,Đông bắc,30,30,3,3947348
1,Căn 2 pn full nội thất view hồ 10ha. công viên 20ha cùng các tiện ích đẳng cấp.,"Vinhomes Smart City, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",55,2.1,2,1,20,Đông bắc,50,5,3,3947371
2,"Duy nhất căn 2 ngủ tầng đẹp giá 1 tỷ 779triệu, giá trực tiếp cđt,nhận nhà ở ngay","Tecco Diamond, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",65,1.7,2,2,,,,,1,3946737
3,Nhận nhà ở ngay không lo trả lãi tại teccodiamond cách bx giáp bát 10p ck 6.5%,"Tecco Diamond, Thị Trấn Văn Điển, Huyện Thanh Trì, Hà Nội",69,1.93,2,2,,,,,1,3946177
4,"Chính chủ bán căn hộ chung cư citadines central, sát luxury residence bình dương","Citadines Bình Dương, Phường An Thạnh, Thị Xã Thuận An, Bình Dương",114,3.05,3,2,16,,50,,,3944714
5,Mua nhà ngay tp chưa bao giờ dễ đến thế chỉ từ 400 triệu sở hữu căn 51m2 2pn,"Dĩ An - Bình Đường, Phường An Bình, Thị Xã Dĩ An, Bình Dương",51,1.94,2,2,29,,,,4,3945268
6,Bán 19 căn hộ giá gốc kèm nhiều chính sách ưu đãi của cđt,"Udic Westlake, Phường Bưởi, Quận Tây Hồ, Hà Nội",85.67,3.7,2,2,,,,,,3948200
8,290 triệu sở hữu căn hộ cách phạm văn đồng 3 phút xe máy,"Bế Văn Đàn, Phường An Bình, Thị Xã Dĩ An, Bình Dương",54,1.9,2,2,29,,12,12,1,3945962
9,"700 triệu ban đầu có nhà ở ngay hesco văn quán, 2pn - 3pn view hồ văn quán hà đô","Phường Văn Quán, Quận Hà Đông, Hà Nội",90,4,3,3,50,Đông bắc,10,5,,3949716
10,"Nhanh tay sở hữu ngay 200 căn hộ view hồ đẹp nhất văn quán, hà đông với 2 tòa he","Phường Văn Quán, Quận Hà Đông, Hà Nội",86,3.5,2,2,45,Đông bắc,10,5,1,3949242
11,Bán căn hộ tân phú richstar 65m2 2pn 2wc hướng đông nam giá 2.8 tỷ,"Căn hộ Richstar Tân Phú, Phường Hiệp Tân, Quận Tân Phú, TP HCM",65,2.8,2,2,18,Đông nam,,,1,3947299
12,Dự án căn hộ bcons sala 2pn 2wc 15 230tr đến khi nhận nhà,"ĐT-743, Phường Đông Hòa, Thị Xã Dĩ An, Bình Dương",51,1.6,2,2,29,,,,4,3949891
13,Căn hộ bcons polygon đa kết nối liền kề đường phạm văn đồng 15% đến khi nhận nhà,"Bế Văn Đàn, Phường An Bình, Thị Xã Dĩ An, Bình Dương",41,1.4,1,1,29,,,,4,3945273
14,Đón đầu đại lộ đông tây rộng 32m với bcons plaza ngay trong làng đại học thủ đức,"Thống Nhất, Phường Đông Hòa, Thị Xã Dĩ An, Bình Dương",51,1.7,2,2,28,,20,20,1,3946562
15,Chung cư tecco diamond thanh toán 550tr sở hữu căn hộ 2pn 64m nhận nhà ở ngay.,"Tecco Diamond, Xã Ngọc Hồi, Huyện Thanh Trì, Hà Nội",64,1.84,2,2,14,,,,1,3945877
16,Bán căn hộ chung cư Sơn An,"TP Biên Hòa,",70,1.6,,,,,,,,3948009
17,"Bán gấp căn hộ đường đinh tiên hoàng, q1, 160m2 , chỉ 5,95 tỷ","ĐINH TIÊN HOÀNG, Phường Đa Kao, Quận 1, TP HCM",160,5.95,2,3,2,,30,4,,3947965
18,"Bán gấp căn hộ đường đinh tiên hoàng, q1, 160m2 , chỉ 5,95 tỷ","ĐINH TIÊN HOÀNG, Phường Đa Kao, Quận 1, TP HCM",160,5.95,2,3,2,,30,4,,3947965
19,"Chuyên bán căn hộ richstar 2pn giá 2tỷ450, 3pn 3tỷ4","Căn hộ Richstar Tân Phú, Phường Hiệp Tân, Quận Tân Phú, TP HCM",65,2.91,2,2,,,,,1,3948996
20,"Căn hộ richstar có hđmb dt 65m2 giá 2,750 tỷ - 3pn - 3,230 tỷ - lh ngay","Căn hộ Richstar Tân Phú, Phường Hiệp Tân, Quận Tân Phú, TP HCM",65,2.75,2,2,,,,,1,3949006
21,"Căn hộ giá rẻ , hưởng thụ mức sống chuyên gia","KDC Centana Điền Phúc Thành, Phường Long Trường, Quận 9, TP HCM",60,2.34,,,,,,,,3950141
22,"Bán cắt lỗ căn 2pn full đồ cao cấp tại chung cư kđt việt hưng, nội thất siêu đẹp","Căn hộ Eco City Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội",65,2,2,2,,,,,1,3881242
23,CĂN HỘ CHUNG CƯ CAO CẤP - SỔ HỒNG RIÊNG SỞ HỮU LÂU DÀI,"Phú Tài Residence, Thành Phố Quy Nhơn, ",96,3,3,3,33,,,,2,3950110
24,3pn tsg lotus sài đồng full đồ chỉ việc ở tầng đẹp view trọn vinhome riverside,"TSG Sài Đồng Lotus, Phường Việt Hưng, Quận Long Biên, Hà Nội",84,0.2352,3,2,,,,,,3950129
25,Bán căn tecco diamond giá hơn 1 tỷ hỗ trợ 70%,"Tứ Hiệp, Xã Ngũ Hiệp, Huyện Thanh Trì, Hà Nội",110,2,4,3,8,Đông nam,30,10,,3947490
26,Mở bán căn hộ chung cư cao chuẩn 5 sao cấp dự án t t capella số 2 phạm ngọc thạc,"Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội",68,0.1,2,2,,,8,,2,3950099
27,Căn góc 4pn 148m giá 5.2 tỷ udic westlake đối diện lotte mall tây hồ,"Udic Westlake, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",148,5.2,,,,,,,,3945331
28,"Bán căn hộ udic westlake 3pn 168m ck 4% giá chỉ 5.4 tỷ, tặng phí dv 2 năm","Udic Westlake, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",168,5.4,,,,,,,,3945347
29,4.9 tỷ căn hộ 3pn 106m the link ciputra hướng mát view nội khu,"The Link 345 Ciputra, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",106,4.9,,,,,,,,3945361
30,Căn hộ đẹp nhất quận ba đình brg 16 láng hạ 3pn 123m view hồ thành công,"Láng Hạ (Ba Đình), Phường Thành Công, Quận Ba Đình, Hà Nội",123,9.4,,,,,,,,3945393
31,"Căn hộ hạng sang 2pn diện tích 82m2 giá 6,4 tỷ dự án brg 16 láng hạ","Láng Hạ (Ba Đình), Phường Cống Vị, Quận Ba Đình, Hà Nội",82,6.4,,,,,,,,3946907
32,Mở bán căn hộ cao cấp t&t capella số 2 phạm ngọc thạch,"Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội",86,7.5,,,,,,,,3948189
33,Bán căn hộ quận ba đình 1pn 54m brg 16 láng hạ tầng cao view phố đẹp,"Láng Hạ (Ba Đình), Phường Thành Công, Quận Ba Đình, Hà Nội",54,4,,,,,,,,3945430
34,"Căn hộ 2pn 100m brg 16 láng hạ, view trọn hồ, giá 9.1 tỷ, htls 0% 1 năm","Láng Hạ (Ba Đình), Phường Thành Công, Quận Ba Đình, Hà Nội",100,9.1,,,,,,,,3946879
35,"Bán căn duplex tây hồ 250m2 giá 8.4 tỷ udic westlake, ký hđ trực tiếp cđt","Udic Westlake, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",250,8.4,5,3,,,,,,3949894
36,"Căn hộ 3pn 126m2 giá 5.2 tỷ bc đông nam udic westlake ck 3%, tặng 2 năm phí dv","Udic Westlake, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",126,5.2,,,,,,,,3945224
37,Căn hộ tây hồ 2pn 85m udic westlake đối diện lotte mall giá chỉ 3 3 tỷ nhận nhà,"Udic Westlake, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",85,0.2805,,,,,,,,3945166
38,Mở bán căn hộ t&t capella pham ngọc thạch,"Phường Trung Tự, Quận Đống Đa, Hà Nội",68,0.08,2,2,24,,,,,3950122
39,"Mở bán chung cư mini kim liên 580tr/căn 1-2pn full nội thất, nhận nhà ngay","Quận Đống Đa, Hà Nội",35,0.58,1,1,7,,,,,3864966
41,"Chính chủ bán ccmn kim mã- đội cấn 600tr/căn 1-2pn có view hồ,tách sổ hồng,đủ nt","Quận Ba Đình, Hà Nội",30,0.6,1,1,6,,,,,3759770
42,"Cđt mở bán chung cư mini hồ tùng mậu 30-55m2 full nội thất, vào ở ngay","Quận Cầu Giấy, Hà Nội",35,0.55,1,1,,,,,,3879699
43,"Mở bán chung cư mini kim liên 580tr/căn 1-2pn full nội thất, nhận nhà ngay","Quận Đống Đa, Hà Nội",35,0.58,1,1,7,,,,,3864966
44,Cđt bán chung cư cao cấp nguyễn văn cừ 600tr/c đủ nội thất,"Quận Long Biên, Hà Nội",39,0.6,1,1,,,,,,3176124
45,"Chính chủ đầu tư bán chung cư mini hồ tùng mậu 550tr/căn 1-2pn, đủ nội thất","Quận Cầu Giấy, Hà Nội",35,0.55,,,,,,,,3875016
46,Chủ đầu tư bán ccmn vân hồ- công viên thống nhất chỉ hơn 600tr/căn full nội thất,"Quận Hoàn Kiếm, Hà Nội",31,0.6,1,1,,,,,,3701372
47,"Chính chủ bán ccmn kim mã - núi trúc 700tr/căn 35-55m2 full nội thất, ở ngay","Quận Ba Đình, Hà Nội",35,0.7,1,1,,,,,,3738229
48,"Chủ đầu tư bán ccmn ngõ 20 hồ tùng mậu 1-2pn, 550tr/căn (30-50m2) full nội thất,","Quận Cầu Giấy, Hà Nội",30,0.55,1,1,,,,,,3896947
49,Cần bán căn hộ chung cư cao cấp tại phạm ngọc thạch giá chỉ từ 4 tỷ,"Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội",53,4,,,,,,,,3950115
50,Westgate mua nhà dễ hơn thuê nhà - thanh toán chỉ đủ 20% nhận nhà full nội thất,"West Gate Park, Thị Trấn Tân Túc, Huyện Bình Chánh, TP HCM",60,2.4,2,2,8,Đông nam,50,50,3,3944639
51,Sky89 110m2 3pn căn góc 2 view sông - giỏ hàng trực tiếp cđt chiết khấu 12% giá,"Căn hộ Sky 89, Phường Bình Thuận, Quận 7, TP HCM",110,5.6,3,1,8,Đông,60,60,3,3944645
52,Suât nội bộ lacasa sky89 căn 110m2 3pn-2wc trực diện sông sg chiết khấu 12% giá,"River Panorama, Phường Bình Thuận, Quận 7, TP HCM",110,5.4,3,2,33,Đông,20,20,3,3944647
53,Căn hộ cao cấp trung tâm quận đống đa giá chỉ từ 4 tỷ,"Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội",90,7.2,,,,,,,,3950114
54,"Lavita thuận an chiết khấu ngay 700 triệu, tt 30% đến khi nhận nhà, miễn phí lãi","Phường Thuận Giao, Thị Xã Thuận An, Bình Dương",54,1.4,2,2,,Đông nam,,,,3950105
55,"Chỉ 770tr sở hữu căn 62m2 2pn view sân bay, ls 0% tại berriver jardin 390 nguyễn","Berriver Jardin, Phường Bồ Đề, Quận Long Biên, Hà Nội",63,2.9,2,1,,,,,,3950082
56,"Chủ đầu tư bán chung cư kim mã - giảng võ 600tr/căn full nội thất,tách sổ hồng","Giảng Võ, Quận Ba Đình, Hà Nội",30,0.6,1,1,7,,,,,3787304
57,"Cực hot: cđt bán chung cư trần khát chân hơn 700tr/căn oto đỗ cửa,nội thất c.cấp","Quận Hai Bà Trưng, Hà Nội",30,0.7,1,1,,,,,,3813205
58,"Chính chủ bán ccmn nguyễn khánh toàn 600tr/căn 30-50m2 oto đỗ cửa,full nội thất","Quận Cầu Giấy, Hà Nội",30,0.6,1,1,,,,,,3831538
59,Chủ đầu tư bán ccmn trần thái tông 30 50m2 giá từ 600tr căn,"Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",30,0.6,1,1,,,,,,3608364
