title,address,area,price,number_bedroom,number_wc,number_floor,direction,entrance,facade,number_parking,id_estate
Hiếm có dự án nào căn 3-4 ngủ giá rẻ như tecco garden; chỉ từ 23tr/m ký cđt,"Tecco Skyville Tower, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",127,2920.0,4,3,,Đông bắc,,,1,3954079
Căn hộ nghỉ dưỡng ngay trung tâm hà nội chỉ 1 3 tỷ view hồ cực chất,"Vinhomes Smart City, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",30,1250.0,1,1,27,Đông bắc,30,30,3,3947348
Căn 2 pn full nội thất view hồ 10ha. công viên 20ha cùng các tiện ích đẳng cấp.,"Vinhomes Smart City, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",55,2100.0,2,1,20,Đông bắc,50,5,3,3947371
Tăng 30tr khi mua căn hộ 2pn 64m d.a tecco diamond kdt tứ hiệp thanh trì,"Tecco Diamond, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",64,1850.0,2,2,14,,,,1,3953439
Dự án grand sunlake mảnh đất vàng cuối cùng của dự án chung cư cao tầng khu vực,"Phường Văn Quán, Quận Hà Đông, Hà Nội",72,2560.0,2,2,45,Đông bắc,10,4,,3954041
"Mở bán chung cư grand sunlake 135 trần phú hà đông, 72m2-98m2, giá từ 34 triệu/m","Phường Văn Quán, Quận Hà Đông, Hà Nội",72,2480.0,2,2,50,Đông bắc,10,4,,3956393
Chung cư cao cấp view hồ văn quán bàn giao full nội thất giá chỉ từ 34tr/m2 mở b,"Phường Văn Quán, Quận Hà Đông, Hà Nội",89,3200.0,2,2,50,Đông bắc,10,4,,3952819
Căn hộ cao cấp 2n 1/1vs vinhomes oceanpark nhận nhà ngay - hỗ trợ ls 0% t2.2024,"Vinhomes Ocean Park, Xã Kiêu Kỵ, Huyện Gia Lâm, Hà Nội",55.6,600,2,1,,,,,,3954114
"Bán chung cư ngõ 68 cầu giấy - 50m2, 2 phòng ngủ-thoáng đẹp","Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",50,1450.0,2,1,4,,,,,3953658
Chinh chủ cân bán căn hộ 96m2.119m2 tòa chung cư sme hoàng gia,"Phường Quang Trung, Quận Hà Đông, Hà Nội",96,Thỏa thuận,,,,,,,,3945995
The holiday hạ long căn hộ du lịch 5 nằm tại vị trí đất vàng bãi cháy,"Phường Bãi Cháy, Thành Phố Hạ Long, Quảng Ninh",44,1600.0,1,1,39,,31,31,,3955726
Căn hộ bcons polygon đa kết nối liền kề đường phạm văn đồng 15% đến khi nhận nhà,"Bế Văn Đàn, Phường An Bình, Thị Xã Dĩ An, Bình Dương",41,1400.0,1,1,29,,,,4,3945273
Căn hộ thủ đức - 2pn - 1ty8 - ngân hàng hỗ trợ 70% - thanh toán 9% ký hdmb,"QUỐC LỘ 1K (KHA VẠN CÂN CŨ), Phường Linh Trung, Quận Thủ Đức, TP HCM",55,1870.0,2,1,35,,17,17,1,3956391
"Căn hộ du lịch felicia oceanview mặt biển mỹ khê đà nẵng, chiết khấu 15%","Furama Condotel Đà Nẵng, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",60,1890.0,2,2,25,,,,2,3956494
